2026-08-12 12:47:14,967 | INFO | ============================================================
2026-08-12 12:47:14,967 | INFO | Iniciando extração: moeda=AUD, ano=2012
2026-08-12 12:47:15,602 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:15,606 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:15,606 | INFO | Pasta criada com sucesso
2026-08-12 12:47:15,613 | INFO | Extração concluída
2026-08-12 12:47:15,613 | INFO | Foram extraídos 1250 registros
2026-08-12 12:47:15,613 | INFO | ============================================================
2026-08-12 12:47:15,613 | INFO | ============================================================
2026-08-12 12:47:15,613 | INFO | Iniciando extração: moeda=AUD, ano=2013
2026-08-12 12:47:16,262 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:16,265 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:16,266 | INFO | Pasta criada com sucesso
2026-08-12 12:47:16,272 | INFO | Extração concluída
2026-08-12 12:47:16,273 | INFO | Foram extraídos 1259 registros
2026-08-12 12:47:16,273 | INFO | ============================================================
2026-08-12 12:47:16,273 | INFO | ============================================================
2026-08-12 12:47:16,273 | INFO | Iniciando extração: moeda=AUD, ano=2014
2026-08-12 12:47:16,895 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:16,899 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:16,900 | INFO | Pasta criada com sucesso
2026-08-12 12:47:16,905 | INFO | Extração concluída
2026-08-12 12:47:16,905 | INFO | Foram extraídos 1254 registros
2026-08-12 12:47:16,906 | INFO | ============================================================
2026-08-12 12:47:16,906 | INFO | ============================================================
2026-08-12 12:47:16,906 | INFO | Iniciando extração: moeda=AUD, ano=2015
2026-08-12 12:47:17,585 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:17,589 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:17,589 | INFO | Pasta criada com sucesso
2026-08-12 12:47:17,595 | INFO | Extração concluída
2026-08-12 12:47:17,596 | INFO | Foram extraídos 1244 registros
2026-08-12 12:47:17,596 | INFO | ============================================================
2026-08-12 12:47:17,596 | INFO | ============================================================
2026-08-12 12:47:17,596 | INFO | Iniciando extração: moeda=AUD, ano=2016
2026-08-12 12:47:18,232 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:18,236 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:18,237 | INFO | Pasta criada com sucesso
2026-08-12 12:47:18,243 | INFO | Extração concluída
2026-08-12 12:47:18,243 | INFO | Foram extraídos 1253 registros
2026-08-12 12:47:18,244 | INFO | ============================================================
2026-08-12 12:47:18,244 | INFO | ============================================================
2026-08-12 12:47:18,244 | INFO | Iniciando extração: moeda=AUD, ano=2017
2026-08-12 12:47:18,770 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:18,774 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:18,775 | INFO | Pasta criada com sucesso
2026-08-12 12:47:18,782 | INFO | Extração concluída
2026-08-12 12:47:18,782 | INFO | Foram extraídos 1243 registros
2026-08-12 12:47:18,783 | INFO | ============================================================
2026-08-12 12:47:18,783 | INFO | ============================================================
2026-08-12 12:47:18,783 | INFO | Iniciando extração: moeda=AUD, ano=2018
2026-08-12 12:47:19,388 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:19,393 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:19,393 | INFO | Pasta criada com sucesso
2026-08-12 12:47:19,399 | INFO | Extração concluída
2026-08-12 12:47:19,399 | INFO | Foram extraídos 1244 registros
2026-08-12 12:47:19,399 | INFO | ============================================================
2026-08-12 12:47:19,400 | INFO | ============================================================
2026-08-12 12:47:19,400 | INFO | Iniciando extração: moeda=AUD, ano=2019
2026-08-12 12:47:19,940 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:19,944 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:19,944 | INFO | Pasta criada com sucesso
2026-08-12 12:47:19,949 | INFO | Extração concluída
2026-08-12 12:47:19,949 | INFO | Foram extraídos 1259 registros
2026-08-12 12:47:19,949 | INFO | ============================================================
2026-08-12 12:47:19,949 | INFO | ============================================================
2026-08-12 12:47:19,950 | INFO | Iniciando extração: moeda=AUD, ano=2020
2026-08-12 12:47:20,502 | INFO | Consulta feita com sucesso!
2026-08-12 12:47:20,506 | INFO | Dataframe criado com sucesso
2026-08-12 12:47:20,507 | INFO | Pasta criada com sucesso
2026-08-12 12:47:20,513 | INFO | Extração concluída
