2026-08-12 00:07:28,272 | INFO | ============================================================
2026-08-12 00:07:28,272 | INFO | INÍCIO DA EXTRAÇÃO PTAX
2026-08-12 00:07:28,273 | INFO | Arquivo de log: logs\2026-08-12\extraction_000728.log
2026-08-12 00:07:28,273 | INFO | ============================================================
2026-08-12 00:07:28,273 | INFO | ============================================================
2026-08-12 00:07:28,273 | INFO | Iniciando extração: moeda=AUD, ano=2000
2026-08-12 00:07:29,108 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:29,125 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:29,126 | INFO | Pasta criada com sucesso
2026-08-12 00:07:29,153 | INFO | Extração concluída
2026-08-12 00:07:29,153 | INFO | Foram extraídos 4250 registros
2026-08-12 00:07:29,154 | INFO | ============================================================
2026-08-12 00:07:29,154 | INFO | ============================================================
2026-08-12 00:07:29,154 | INFO | Iniciando extração: moeda=AUD, ano=2001
2026-08-12 00:07:29,947 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:29,961 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:29,961 | INFO | Pasta criada com sucesso
2026-08-12 00:07:29,978 | INFO | Extração concluída
2026-08-12 00:07:29,978 | INFO | Foram extraídos 4090 registros
2026-08-12 00:07:29,979 | INFO | ============================================================
2026-08-12 00:07:29,979 | INFO | ============================================================
2026-08-12 00:07:29,979 | INFO | Iniciando extração: moeda=AUD, ano=2002
2026-08-12 00:07:30,745 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:30,757 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:30,757 | INFO | Pasta criada com sucesso
2026-08-12 00:07:30,774 | INFO | Extração concluída
2026-08-12 00:07:30,774 | INFO | Foram extraídos 4029 registros
2026-08-12 00:07:30,774 | INFO | ============================================================
2026-08-12 00:07:30,774 | INFO | ============================================================
2026-08-12 00:07:30,774 | INFO | Iniciando extração: moeda=AUD, ano=2003
2026-08-12 00:07:31,469 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:31,486 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:31,486 | INFO | Pasta criada com sucesso
2026-08-12 00:07:31,502 | INFO | Extração concluída
2026-08-12 00:07:31,502 | INFO | Foram extraídos 4025 registros
2026-08-12 00:07:31,502 | INFO | ============================================================
2026-08-12 00:07:31,503 | INFO | ============================================================
2026-08-12 00:07:31,503 | INFO | Iniciando extração: moeda=AUD, ano=2004
2026-08-12 00:07:32,269 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:32,280 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:32,281 | INFO | Pasta criada com sucesso
2026-08-12 00:07:32,296 | INFO | Extração concluída
2026-08-12 00:07:32,297 | INFO | Foram extraídos 3864 registros
2026-08-12 00:07:32,297 | INFO | ============================================================
2026-08-12 00:07:32,297 | INFO | ============================================================
2026-08-12 00:07:32,297 | INFO | Iniciando extração: moeda=AUD, ano=2005
2026-08-12 00:07:33,049 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:33,064 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:33,066 | INFO | Pasta criada com sucesso
2026-08-12 00:07:33,083 | INFO | Extração concluída
2026-08-12 00:07:33,084 | INFO | Foram extraídos 3631 registros
2026-08-12 00:07:33,087 | INFO | ============================================================
2026-08-12 00:07:33,088 | INFO | ============================================================
2026-08-12 00:07:33,088 | INFO | Iniciando extração: moeda=AUD, ano=2006
2026-08-12 00:07:33,822 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:33,833 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:33,834 | INFO | Pasta criada com sucesso
2026-08-12 00:07:33,850 | INFO | Extração concluída
2026-08-12 00:07:33,851 | INFO | Foram extraídos 4128 registros
2026-08-12 00:07:33,851 | INFO | ============================================================
2026-08-12 00:07:33,851 | INFO | ============================================================
2026-08-12 00:07:33,851 | INFO | Iniciando extração: moeda=AUD, ano=2007
2026-08-12 00:07:34,554 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:34,564 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:34,565 | INFO | Pasta criada com sucesso
2026-08-12 00:07:34,582 | INFO | Extração concluída
2026-08-12 00:07:34,582 | INFO | Foram extraídos 3685 registros
2026-08-12 00:07:34,582 | INFO | ============================================================
2026-08-12 00:07:34,582 | INFO | ============================================================
2026-08-12 00:07:34,582 | INFO | Iniciando extração: moeda=AUD, ano=2008
2026-08-12 00:07:35,270 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:35,281 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:35,282 | INFO | Pasta criada com sucesso
2026-08-12 00:07:35,298 | INFO | Extração concluída
2026-08-12 00:07:35,299 | INFO | Foram extraídos 4292 registros
2026-08-12 00:07:35,299 | INFO | ============================================================
2026-08-12 00:07:35,299 | INFO | ============================================================
2026-08-12 00:07:35,299 | INFO | Iniciando extração: moeda=AUD, ano=2009
2026-08-12 00:07:35,995 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:36,007 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:36,008 | INFO | Pasta criada com sucesso
2026-08-12 00:07:36,025 | INFO | Extração concluída
2026-08-12 00:07:36,025 | INFO | Foram extraídos 4224 registros
2026-08-12 00:07:36,025 | INFO | ============================================================
2026-08-12 00:07:36,025 | INFO | ============================================================
2026-08-12 00:07:36,025 | INFO | Iniciando extração: moeda=AUD, ano=2010
2026-08-12 00:07:36,769 | INFO | Consulta feita com sucesso!
2026-08-12 00:07:36,780 | INFO | Dataframe criado com sucesso
2026-08-12 00:07:36,781 | INFO | Pasta criada com sucesso
2026-08-12 00:07:36,797 | INFO | Extração concluída
2026-08-12 00:07:36,797 | INFO | Foram extraídos 4210 registros
2026-08-12 00:07:36,797 | INFO | ============================================================
2026-08-12 00:07:36,797 | INFO | ============================================================
2026-08-12 00:07:36,798 | INFO | Iniciando extração: moeda=AUD, ano=2011
